Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0, kfcm, krcm, eCA, kclus
3982, -102.5718, 0.29261, 10.822, 0.73332, 0.11703, 0.10786, 0.26541, 0.17207, 262.75, 0.001722, 573.19, 2.858, 0.26199, 0.35209, 74.667, 0.00233, 7.4463, 0.35302, 0.11777,1e-26,48.177,0.30631
3983, -102.6642, 0.036965, 58.313, 0.26124, 3.2642, 0.099346, 72.129, 0.0050614, 449.88, 0.0023924, 339.84, 0.049986, 4.1772, 0.021368, 72.296, 5.7219, 2.4644, 3.757, 0.051364,1e-26,0.77191,0.007947
3984, -102.6939, 0.0032053, 0.038374, 0.43668, 0.039951, 0.087986, 9.0301, 0.0042312, 446.75, 1.3589, 4.3759, 0.5833, 0.13199, 0.032844, 8.027, 5.2578, 29.869, 0.42558, 0.80484,1e-26,0.67615,0.0091265
3985, -102.9031, 0.65106, 0.20979, 0.59073, 0.048273, 0.011061, 0.093335, 0.0019267, 674.02, 8.9254, 0.021857, 1.2649, 0.083258, 0.32852, 29.891, 0.015658, 0.11572, 0.57174, 0.13857,1e-26,939.19,7.474
3986, -102.9141, 0.0013354, 0.0010355, 0.10368, 0.39901, 0.021114, 7.0662, 1.9741, 9.3639, 0.62284, 1.9043, 0.0014763, 0.010924, 0.088788, 14.198, 0.0011415, 2.8809, 0.41714, 0.05,1e-26,10.268,0.0087506
3987, -103.1683, 0.001438, 0.0014847, 0.18223, 7.8634, 0.10337, 1.2594, 0.10232, 156.98, 0.0030485, 7.5789, 0.038617, 0.078126, 0.10138, 1.6615, 0.0014487, 168.92, 0.08875, 3.1499,1e-26,101.21,0.98965
3988, -103.3119, 1.0947, 0.0022403, 0.1478, 0.11084, 0.0058221, 110.7, 0.0046709, 379.25, 0.46089, 81.268, 0.11074, 0.035156, 0.071213, 13.424, 0.0052034, 0.25168, 6.8173, 0.65621,1e-26,13.379,0.017327
3989, -103.4435, 0.0049205, 0.038374, 0.60416, 0.039951, 0.054762, 4.9483, 0.0033213, 446.75, 1.2405, 4.3759, 0.50998, 0.13199, 0.032844, 8.0131, 4.258, 29.869, 0.42558, 0.61778,1e-26,0.67615,0.0072097
3990, -103.7909, 0.0049205, 0.038374, 0.60416, 0.039951, 0.087986, 9.5463, 0.0043395, 446.75, 1.3589, 4.3759, 0.5833, 0.13199, 0.017382, 9.2887, 5.2578, 29.869, 0.35933, 0.61778,1e-26,0.67615,0.0091265
3991, -103.8512, 0.083186, 0.0020013, 0.11922, 5.7014, 0.34885, 1.1484, 0.033835, 554.32, 0.16387, 0.26608, 3.0569, 0.33644, 0.077266, 69.351, 0.0060703, 0.14535, 0.35323, 2.1233,1e-26,145.28,0.01701
