Rank, Fitness, kfsr, krsr_nostim, krsr_stim, kfmm, krmm, kfc_nostim, kfc_stim, S0, R0, D1, D1_over_D2, X
167, -82.9098, 0.057538, 1.1774, 0.22808, 0.0038382, 0.01, 0.15586, 0.034001, 1.4073, 303.23, 0.11761, 5, 10
168, -82.9135, 0.064192, 2.6492, 0.5093, 0.0058506, 0.017418, 0.052716, 0.021468, 2.7688, 500, 0.09995, 2.1193, 10
169, -82.9842, 0.17441, 0.40463, 0.11316, 0.0010133, 0.027013, 0.089017, 0.045411, 0.39897, 460.27, 0.095838, 5, 6.1247
170, -83.1024, 0.065167, 1.1134, 0.24774, 0.0048921, 0.01, 0.053873, 0.013773, 1.5011, 427.36, 0.16942, 5, 10
171, -83.1839, 0.057079, 1.6141, 0.43849, 0.0080301, 0.011196, 0.072815, 0.025351, 2.5854, 268.58, 0.13161, 4.0021, 10
172, -83.2827, 0.11592, 2.2475, 0.1, 0.010871, 0.026447, 0.081013, 0.024015, 2.8032, 184.39, 0.14972, 5, 7.5354
173, -83.4279, 0.0448, 0.86031, 0.27742, 0.0056676, 0.010379, 0.07795, 0.034864, 1.5011, 292.05, 0.15631, 3.3138, 10
174, -83.5128, 0.075022, 1.4858, 0.23153, 0.0024338, 0.01, 0.030126, 0.016743, 2.1383, 500, 0.060345, 1.5, 5
175, -83.5576, 0.10331, 1.6746, 0.1, 0.0023126, 0.01, 0.081621, 0.013718, 1.4364, 362.64, 0.10765, 5, 5.3523
176, -83.7451, 0.032625, 1.002, 0.22384, 0.0044162, 0.01, 0.064206, 0.024662, 2.6588, 403.66, 0.11596, 2.5918, 8.7836
177, -83.7653, 0.062283, 0.4815, 0.1, 0.0010803, 0.01, 0.036053, 0.011243, 1.442, 500, 0.12683, 5, 10
178, -83.7688, 0.10011, 2.0845, 0.46058, 0.0051949, 0.01, 0.047031, 0.015333, 1.1231, 500, 0.076584, 3.3656, 5
179, -83.7843, 0.045838, 3.122, 0.89261, 0.010225, 0.022454, 0.13, 0.044051, 2.0884, 500, 0.14641, 5, 5
180, -83.9072, 0.044391, 0.85038, 0.12463, 0.001, 0.018973, 0.081632, 0.011423, 2.2986, 500, 0.078564, 5, 5.4096
181, -84.0013, 0.35282, 1.2207, 0.12978, 0.0013768, 0.010215, 0.22635, 0.04919, 0.51859, 205.66, 0.12366, 2.8321, 9.2877
182, -84.0415, 0.051361, 1.7074, 0.57483, 0.0098155, 0.01, 0.053928, 0.038899, 1.1916, 500, 0.13161, 5, 5
183, -84.1341, 0.10551, 1.0544, 0.1, 0.00248, 0.015363, 0.039477, 0.015605, 1.4318, 456.32, 0.061607, 1.5, 10
