Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
543, -11.6155, 0.69595, 0.016301, 0.13434, 5.0274, 0.02721, 0.29718, 2.5787, 14.069, 0.35038, 80.718, 0.0034257, 2.396, 0.029377, 2.6911, 44.281, 0.0028801, 2562.5, 0.37573,0.53959
544, -11.7270, 0.69595, 0.016528, 0.21777, 6.517, 0.02721, 0.25287, 3.0902, 12.768, 0.35038, 35.604, 0.0027685, 3.8867, 0.028466, 2.6911, 44.281, 0.0033803, 2562.5, 0.37573,0.68352
545, -11.7424, 0.69595, 0.016528, 0.13434, 5.0274, 0.030754, 0.25287, 3.0902, 16.528, 0.35038, 80.718, 0.0022313, 2.396, 0.029377, 2.6911, 44.281, 0.0041244, 2562.5, 0.37573,0.68352
546, -11.7619, 0.69595, 0.016528, 0.079896, 7.4633, 0.02721, 0.32419, 3.0741, 14.483, 0.35038, 49.578, 0.0034257, 1.8348, 0.020795, 2.8431, 44.281, 0.0024171, 2334.4, 0.37573,0.68352
547, -11.8114, 0.69595, 0.016528, 0.072335, 6.1425, 0.02721, 0.32419, 3.0741, 14.483, 0.35038, 33.295, 0.0034257, 1.8348, 0.027126, 2.6911, 44.281, 0.0023985, 2562.5, 0.37573,0.68487
548, -11.8145, 0.69595, 0.016528, 0.072335, 11.871, 0.02721, 0.31183, 2.6778, 19.691, 0.26152, 49.578, 0.0034257, 1.8348, 0.039882, 3.5804, 48.448, 0.0038503, 2562.5, 0.37573,0.68352
549, -11.8180, 0.69595, 0.016528, 0.072335, 10.193, 0.02721, 0.32419, 3.0741, 14.483, 0.35038, 49.578, 0.0034257, 1.8348, 0.020378, 2.6911, 28.123, 0.0024016, 2562.5, 0.37573,0.68352
550, -11.8520, 0.69595, 0.016528, 0.072335, 7.9617, 0.027513, 0.30472, 1.86, 14.996, 0.35038, 49.578, 0.0034257, 1.5585, 0.039882, 2.6911, 44.281, 0.0038503, 3582.6, 0.37573,0.68352
551, -11.8736, 0.69595, 0.016528, 0.18247, 6.517, 0.02721, 0.25287, 2.2591, 14.483, 0.35038, 67.873, 0.0034257, 2.637, 0.030718, 2.6911, 44.281, 0.003068, 2562.5, 0.37573,0.68352
552, -11.8971, 0.61768, 0.016528, 0.13434, 2.8366, 0.016894, 0.29463, 3.0902, 14.069, 0.50159, 97.727, 0.0047387, 3.5138, 0.029377, 2.6911, 44.281, 0.0028801, 3783, 0.22137,0.68352
553, -11.9384, 4.3384, 0.16867, 0.022717, 3.6413, 9.6471, 943.02, 0.0028456, 0.067458, 0.012189, 637.29, 0.68198, 1.9062, 0.83867, 7.3102, 2.2875, 0.0060673, 330.09, 14.469,0.077137
554, -11.9414, 0.097809, 1.2215, 0.24849, 0.064229, 2.51, 0.15141, 1.7953, 0.099174, 4.6859, 0.065159, 2.131, 0.43551, 0.35638, 0.74501, 3.0308, 0.0196, 2.1047, 88.865,0.18768
555, -11.9554, 0.69595, 0.02092, 0.13434, 4.3197, 0.02721, 0.25287, 2.8189, 14.069, 0.26966, 80.718, 0.0031355, 2.396, 0.029377, 2.6911, 44.281, 0.0028801, 1570.6, 0.37573,0.92348
556, -11.9743, 0.69595, 0.021563, 0.10832, 5.0274, 0.02721, 0.17357, 2.4009, 14.069, 0.42768, 80.718, 0.0034098, 2.396, 0.029377, 2.6911, 44.281, 0.0028801, 2562.5, 0.37573,0.68352
557, -11.9940, 0.69595, 0.016528, 0.082646, 5.0274, 0.02721, 0.25287, 1.7682, 14.069, 0.35038, 92.185, 0.0034257, 2.396, 0.029377, 2.6911, 44.281, 0.0038671, 2562.5, 0.37573,0.5325
558, -12.0102, 0.0044933, 0.0020407, 0.38353, 0.70701, 0.0070672, 0.36503, 1.4789, 45.382, 2.2448, 0.26216, 0.026459, 0.0017181, 0.025782, 0.20605, 57.759, 0.0011649, 750.52, 11.858,0.12622
559, -12.0105, 1.0373, 0.023828, 0.072335, 7.9617, 0.02721, 0.4172, 3.0741, 14.483, 0.35038, 49.578, 0.0034185, 1.8348, 0.041147, 2.6911, 44.281, 0.0024032, 2562.5, 0.37573,0.68352
560, -12.0116, 0.65858, 0.016715, 0.1128, 6.517, 0.02721, 0.24339, 3.0741, 14.483, 0.35038, 49.578, 0.0034257, 2.637, 0.039882, 2.6911, 44.281, 0.002338, 2562.5, 0.30099,0.68352
561, -12.0961, 0.69595, 0.016528, 0.076244, 6.517, 0.02721, 0.24339, 2.0442, 14.483, 0.35038, 49.578, 0.0030088, 1.6934, 0.039882, 2.6911, 44.281, 0.0038503, 2562.5, 0.37573,0.68352
562, -12.1015, 0.70525, 0.016528, 0.10132, 6.517, 0.02721, 0.24339, 1.7145, 14.483, 0.45778, 62.822, 0.0034257, 2.637, 0.039882, 1.6312, 47.585, 0.0038503, 2562.5, 0.37573,0.63158
563, -12.2076, 0.38155, 0.010461, 0.10132, 6.517, 0.02721, 0.22764, 2.3331, 15.034, 0.35038, 49.578, 0.0025664, 2.637, 0.039882, 1.6201, 39.175, 0.0038503, 2562.5, 0.37573,0.68352
564, -12.2318, 0.69595, 0.016528, 0.052313, 7.9617, 0.02721, 0.32419, 1.9838, 14.483, 0.35038, 49.578, 0.0047099, 1.8348, 0.043296, 2.6911, 44.281, 0.0038503, 3749.8, 0.37573,0.89268
565, -12.2391, 0.69595, 0.015123, 0.13434, 5.0274, 0.02721, 0.25287, 3.0902, 17.944, 0.31577, 80.718, 0.0034257, 2.396, 0.014721, 2.6911, 44.281, 0.0028801, 2562.5, 0.37573,0.68352
566, -12.2645, 0.56055, 0.024441, 0.072335, 7.9617, 0.02721, 0.26995, 1.758, 14.483, 0.35038, 49.578, 0.0034257, 1.8348, 0.057993, 2.6911, 44.281, 0.0038503, 2562.5, 0.29487,0.68352
567, -12.3030, 0.69595, 0.016528, 0.085956, 7.0441, 0.02721, 0.32419, 3.0741, 14.483, 0.35038, 49.578, 0.0042835, 1.8348, 0.039882, 1.9362, 44.281, 0.0024865, 2562.5, 0.37573,0.68352
568, -12.3140, 0.69595, 0.016528, 0.19038, 2.6534, 0.02721, 0.25287, 3.0902, 14.069, 0.19882, 80.718, 0.0034257, 3.1177, 0.029377, 2.6911, 44.281, 0.0021508, 1635.9, 0.37573,0.68352
569, -12.3510, 0.69595, 0.016528, 0.13434, 5.0274, 0.02721, 0.16059, 2.2212, 14.069, 0.35038, 79.137, 0.0034257, 2.2278, 0.029377, 2.6911, 52.743, 0.0028801, 2562.5, 0.37573,0.9387
