Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfq, krq, eLoop, eDF, kfdd, Sd, stimUpSR, S0, R0, X0, Q0
14586, -14.0512, 5.316, 2.1128, 1.3911, 0.33372, 2.2365, 242.41, 10, 0.058813, 0.0010446, 5.0069, 1.3744, 0.014775, 0.52288, 0.11539, 3.7537, 0.0030048, 121.6, 0.024623,8.3732
14587, -14.0540, 5.316, 2.7895, 0.53852, 0.92798, 1.1978, 522.66, 6.1142, 0.058813, 0.0012385, 2.679, 1.3744, 0.039042, 0.49699, 0.14194, 3.7537, 0.0026185, 222.58, 0.015438,9.244
14588, -14.0605, 7.3543, 2.2457, 1.35, 0.92798, 1.1227, 384.57, 5.1579, 0.035413, 0.0019538, 5.0069, 1.3744, 0.027138, 0.54133, 0.1, 2.5134, 0.0026185, 222.58, 0.024623,9.244
14589, -14.0608, 7.3543, 1.8822, 1.35, 0.92798, 1.7033, 384.57, 5.1579, 0.058813, 0.0016935, 5.0069, 1.3744, 0.027138, 0.54133, 0.13232, 2.6232, 0.0039196, 222.58, 0.024623,9.244
14590, -14.0614, 5.316, 2.7895, 0.82726, 0.92798, 1.7033, 353.54, 7.8073, 0.058813, 0.0012097, 5.0069, 1.3744, 0.027138, 0.54133, 0.11539, 3.7537, 0.0016545, 134.95, 0.024623,9.244
14591, -14.0691, 7.3543, 1.3588, 1.35, 0.92798, 1.2316, 384.57, 5.1579, 0.058813, 0.0016935, 5.0069, 1.3744, 0.029291, 0.76798, 0.13232, 2.5134, 0.0026185, 222.58, 0.01306,10.345
14592, -14.0806, 7.3543, 2.2457, 1.35, 0.92798, 1.7033, 445.79, 5.1579, 0.058813, 0.0016935, 6.9821, 1.3744, 0.027138, 0.54133, 0.1215, 2.5134, 0.0026185, 222.58, 0.036567,9.244
14593, -14.0809, 2.9928, 2.7895, 0.83414, 0.65037, 2.2981, 353.54, 10, 0.069158, 0.0010446, 3.4543, 1.3744, 0.027138, 0.52288, 0.11539, 3.7537, 0.0017051, 153.05, 0.035275,8.3732
14594, -14.0878, 5.5076, 2.7895, 0.93428, 0.92798, 1.7033, 384.57, 6.1629, 0.05083, 0.0012385, 5.0069, 1.3744, 0.027138, 0.54133, 0.11539, 2.1063, 0.0014404, 222.58, 0.026219,9.244
14595, -14.1172, 6.9067, 2.7895, 0.93428, 0.92798, 1.7552, 234.49, 6.1629, 0.058813, 0.0012385, 3.9113, 1.3744, 0.027138, 0.54133, 0.11539, 3.7537, 0.0026185, 222.58, 0.034266,9.244
14596, -14.1187, 5.316, 2.7895, 0.69814, 0.61768, 2.2365, 353.54, 10, 0.058813, 0.0010446, 5.0069, 0.77846, 0.027138, 0.52288, 0.11539, 3.7251, 0.0020717, 171.75, 0.024623,8.3732
