Rank, Fitness, kfsr, krsr, kfmm, krmm, kfmx, krmx, kfc, krc, kfxx, krxx, eLoop, eDF, kfdd, stimUpSR, S0, R0, X0
100, -9.3026, 0.01117, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.01, 2.1393, 0.16492, 0.19864, 0.18233, 0.16338, 74.685, 1.0473, 0.34034, 0.1
101, -9.3116, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.01, 2.3727, 0.29359, 0.20434, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
102, -9.3350, 0.010514, 0.028354, 0.1, 1.8958, 1.7633, 0.089244, 7.3209, 0.010394, 2.4215, 0.24139, 0.20604, 0.23281, 0.16338, 74.685, 0.94917, 0.34034, 0.1
103, -9.3372, 0.010514, 0.020742, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.18716, 74.685, 1.1261, 0.34034, 0.10724
104, -9.3539, 0.010514, 0.016626, 0.1, 1.8936, 1.7633, 0.049826, 5.0847, 0.01, 2.4451, 0.24139, 0.10669, 0.23281, 0.14284, 74.685, 1.0473, 0.34034, 0.1
105, -9.3744, 0.010514, 0.018711, 0.1, 1.8936, 2.2608, 0.089244, 7.3209, 0.01, 2.1393, 0.24139, 0.19864, 0.23281, 0.13934, 74.685, 1.2484, 0.34034, 0.10599
106, -9.3747, 0.010514, 0.030441, 0.1, 1.8936, 1.1263, 0.089244, 7.3209, 0.010394, 2.7931, 0.24139, 0.19864, 0.23281, 0.16262, 74.685, 1.0473, 0.34034, 0.10532
107, -9.3752, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 8.3705, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
108, -9.3836, 0.010514, 0.015452, 0.1, 1.8936, 1.7633, 0.13334, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.39997, 0.1
109, -9.4356, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.078211, 9.1683, 0.014832, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.35597, 0.1
110, -9.4430, 0.010514, 0.033821, 0.1, 1.8936, 1.7633, 0.095024, 8.2776, 0.010625, 2.7247, 0.24139, 0.19864, 0.23281, 0.16338, 64.754, 1.0473, 0.34034, 0.1
111, -9.4503, 0.010514, 0.019352, 0.1, 1.8936, 1.7633, 0.089244, 4.8139, 0.010394, 3.083, 0.24139, 0.19864, 0.15568, 0.16338, 74.685, 1.0473, 0.34034, 0.11405
112, -9.4615, 0.010514, 0.030441, 0.1354, 1.0003, 1.7633, 0.092821, 8.034, 0.010394, 2.1393, 0.32339, 0.27547, 0.23281, 0.22765, 74.685, 1.0473, 0.34034, 0.1
113, -9.5136, 0.013344, 0.024693, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.25466, 0.30251, 0.16338, 74.685, 1.5473, 0.42014, 0.10861
114, -9.5230, 0.010514, 0.030441, 0.1, 1.7284, 0.93532, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 75.856, 1.069, 0.34034, 0.1
115, -9.5308, 0.010514, 0.02412, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.098762, 74.685, 1.57, 0.34034, 0.1
116, -9.5458, 0.010514, 0.030441, 0.1, 2.0551, 1.7633, 0.089244, 7.3209, 0.01, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 90.132, 1.0473, 0.34034, 0.1
117, -9.5482, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.01, 2.1393, 0.20815, 0.19864, 0.26617, 0.094988, 90.958, 1.0473, 0.34034, 0.1
118, -9.5491, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.1136, 7.3209, 0.01, 2.1393, 0.24139, 0.24129, 0.25378, 0.16338, 74.685, 1.0473, 0.34034, 0.1
119, -9.5545, 0.010514, 0.030441, 0.1, 1.8936, 1.108, 0.081216, 7.3209, 0.010394, 2.1393, 0.30726, 0.19864, 0.23281, 0.16338, 100, 1.0473, 0.34034, 0.1
120, -9.5550, 0.010514, 0.030441, 0.1, 1.8936, 1.3251, 0.10164, 7.3209, 0.010394, 2.1393, 0.19033, 0.19864, 0.26653, 0.16338, 74.685, 1.0473, 0.34034, 0.1
121, -9.5554, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.12163, 7.3209, 0.01, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
122, -9.5590, 0.010514, 0.034256, 0.1, 1.6233, 1.3868, 0.089244, 6.6467, 0.010394, 3.0831, 0.24139, 0.19864, 0.23281, 0.11905, 74.685, 1.0473, 0.34034, 0.1
123, -9.5613, 0.010514, 0.030441, 0.1, 1.8936, 0.97411, 0.089244, 7.3209, 0.010394, 2.1393, 0.24139, 0.19864, 0.23281, 0.19214, 74.685, 1.0473, 0.34034, 0.1
124, -9.5659, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.01, 2.1393, 0.24139, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
125, -9.5660, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.089244, 7.3209, 0.01, 2.1393, 0.24915, 0.19864, 0.23281, 0.16338, 74.685, 1.0473, 0.34034, 0.1
126, -9.5703, 0.010514, 0.030441, 0.1, 1.8936, 1.7633, 0.10959, 7.3209, 0.010394, 2.1393, 0.24139, 0.24022, 0.23281, 0.16338, 68.898, 1.0739, 0.34034, 0.1
